Geo Point;Geo Shape;gml_id;GID;NOM_SITE_A;ESP_VISEE;ESP_DETAIL;TERRIT_P
44.845027835321886, -0.5647297347727751;"{""coordinates"": [-0.564729734772775, 44.845027835321886], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80057;80057;Parc des Berges de Queyries Quai de Queyries_B 145;OISEAU;MOINEAU DOMESTIQUE;PT_BORDEAUX
44.87609982895916, -0.5729920510065986;"{""coordinates"": [-0.572992051006599, 44.87609982895916], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79934;79934;Parc Denis et Eugène Bühler A 192;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.85341774973475, -0.5992056446387013;"{""coordinates"": [-0.599205644638701, 44.85341774973475], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79939;79939;Parc Bordelais H 179 Lisière;OISEAU;SITELLE TORCHEPOT;PT_BORDEAUX
44.85462561213879, -0.6045054501841295;"{""coordinates"": [-0.604505450184129, 44.85462561213879], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79948;79948;Parc Bordelais Z 217 Lisière;OISEAU;ROUGEGORGE FAMILIER;PT_BORDEAUX
44.85553385922754, -0.5858638130297505;"{""coordinates"": [-0.585863813029751, 44.85553385922754], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79955;79955;Parc Rivière Maison du Jardinier;OISEAU;MOINEAU DOMESTIQUE;PT_BORDEAUX
44.84548419526279, -0.5652671201627497;"{""coordinates"": [-0.56526712016275, 44.84548419526279], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79956;79956;Parc des Berges de Queyries 25;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.84656118106911, -0.56541709538104;"{""coordinates"": [-0.56541709538104, 44.84656118106911], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79960;79960;Parc des Berges de Queyries 17;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.85346515592864, -0.5994755671914456;"{""coordinates"": [-0.599475567191446, 44.85346515592864], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79961;79961;Parc Bordelais Abris H Lisière;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.85482897003203, -0.6010714152126686;"{""coordinates"": [-0.601071415212669, 44.85482897003203], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79963;79963;Parc Bordelais N 18 Chênaie;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.85082449326397, -0.6012072987376657;"{""coordinates"": [-0.601207298737666, 44.85082449326397], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79964;79964;Parc Bordelais G 15 Espaces centraux;OISEAU;GRIMPEREAU DES JARDINS;PT_BORDEAUX
44.85127741990669, -0.6004841540602284;"{""coordinates"": [-0.600484154060228, 44.85127741990669], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79965;79965;Parc Bordelais E 53 Lisière;OISEAU;ROUGEGORGE FAMILIER;PT_BORDEAUX
44.85545291663876, -0.5881753631877097;"{""coordinates"": [-0.58817536318771, 44.85545291663876], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79972;79972;Parc Rivière 61 Lisière;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.8450274237568, -0.5649643371372376;"{""coordinates"": [-0.564964337137238, 44.8450274237568], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79976;79976;Parc des Berges de Queyries 40;OISEAU;SITELLE TORCHEPOT;PT_BORDEAUX
44.85414328361508, -0.6309217434491216;"{""coordinates"": [-0.630921743449122, 44.85414328361508], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79830;79830;Parc Monséjour 14;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
